Membership No  Date Joined  Active  
    34565      2015-4-9     no    
    66904      2020-6-11    no    
    38833      2017-4-25    no    
    19128      2019-1-21    no    
    89098      2016-2-2     no    
    71056      2017-7-24    no    
    83772      2019-4-18    no    
    22537      2018-10-15   no    
    39540      2018-11-6    no    
    24617      2016-4-24    no    
    32911      2017-3-22    no    
    92216      2015-10-5    no    
    66497      2017-9-17    no    
    68457      2016-9-5     no    
    67235      2020-6-1     no    
    55199      2015-12-22   no    
    92533      2017-6-5     no    
    61477      2017-7-23    no    
